case|value
row-0001|10
row-0002|20
row-0003|30
row-0004|40
row-0005|50
row-0006|60
row-0007|70
row-0008|80
row-0009|90
row-0010|100
row-0011|110
row-0012|120
row-0013|130
row-0014|140
row-0015|150
row-0016|160
row-0017|170
row-0018|180
row-0019|190
row-0020|200
row-0021|210
row-0022|220
row-0023|230
row-0024|240
row-0025|250
row-0026|260
row-0027|270
row-0028|280
row-0029|290
row-0030|300
row-0031|310
row-0032|320
row-0033|330
row-0034|340
row-0035|350
row-0036|360
row-0037|370
row-0038|380
row-0039|390
row-0040|400
row-0041|410
row-0042|420
row-0043|430
row-0044|440
row-0045|450
row-0046|460
row-0047|470
row-0048|480
row-0049|490
row-0050|500
row-0051|510
row-0052|520
row-0053|530
row-0054|540
row-0055|550
row-0056|560
row-0057|570
row-0058|580
row-0059|590
row-0060|600
row-0061|610
row-0062|620
row-0063|630
row-0064|640
row-0065|650
row-0066|660
row-0067|670
row-0068|680
row-0069|690
row-0070|700
row-0071|710
row-0072|720
row-0073|730
row-0074|740
row-0075|750
row-0076|760
row-0077|770
row-0078|780
row-0079|790
row-0080|800
row-0081|810
row-0082|820
row-0083|830
row-0084|840
row-0085|850
row-0086|860
row-0087|870
row-0088|880
row-0089|890
row-0090|900
row-0091|910
row-0092|920
row-0093|930
row-0094|940
row-0095|950
row-0096|960
row-0097|970
row-0098|980
row-0099|990
row-0100|1000
row-0101|1010
row-0102|1020
row-0103|1030
row-0104|1040
row-0105|1050
row-0106|1060
row-0107|1070
row-0108|1080
row-0109|1090
row-0110|1100
row-0111|1110
row-0112|1120
row-0113|1130
row-0114|1140
row-0115|1150
row-0116|1160
row-0117|1170
row-0118|1180
row-0119|1190
row-0120|1200
row-0121|1210
row-0122|1220
row-0123|1230
row-0124|1240
row-0125|1250
row-0126|1260
row-0127|1270
row-0128|1280
row-0129|1290
row-0130|1300
row-0131|1310
row-0132|1320
row-0133|1330
row-0134|1340
row-0135|1350
row-0136|1360
row-0137|1370
row-0138|1380
row-0139|1390
row-0140|1400
row-0141|1410
row-0142|1420
row-0143|1430
row-0144|1440
row-0145|1450
row-0146|1460
row-0147|1470
row-0148|1480
row-0149|1490
row-0150|1500
row-0151|1510
row-0152|1520
row-0153|1530
row-0154|1540
row-0155|1550
row-0156|1560
row-0157|1570
row-0158|1580
row-0159|1590
row-0160|1600
row-0161|1610
row-0162|1620
row-0163|1630
row-0164|1640
row-0165|1650
row-0166|1660
row-0167|1670
row-0168|1680
row-0169|1690
row-0170|1700
row-0171|1710
row-0172|1720
row-0173|1730
row-0174|1740
row-0175|1750
row-0176|1760
row-0177|1770
row-0178|1780
row-0179|1790
row-0180|1800
row-0181|1810
row-0182|1820
row-0183|1830
row-0184|1840
row-0185|1850
row-0186|1860
row-0187|1870
row-0188|1880
row-0189|1890
row-0190|1900
row-0191|1910
row-0192|1920
row-0193|1930
row-0194|1940
row-0195|1950
row-0196|1960
row-0197|1970
row-0198|1980
row-0199|1990
row-0200|2000
row-0201|2010
row-0202|2020
row-0203|2030
row-0204|2040
row-0205|2050
row-0206|2060
row-0207|2070
row-0208|2080
row-0209|2090
row-0210|2100
row-0211|2110
row-0212|2120
row-0213|2130
row-0214|2140
row-0215|2150
row-0216|2160
row-0217|2170
row-0218|2180
row-0219|2190
row-0220|2200
row-0221|2210
row-0222|2220
row-0223|2230
row-0224|2240
row-0225|2250
row-0226|2260
row-0227|2270
row-0228|2280
row-0229|2290
row-0230|2300
row-0231|2310
row-0232|2320
row-0233|2330
row-0234|2340
row-0235|2350
row-0236|2360
row-0237|2370
row-0238|2380
row-0239|2390
row-0240|2400
row-0241|2410
row-0242|2420
row-0243|2430
row-0244|2440
row-0245|2450
row-0246|2460
row-0247|2470
row-0248|2480
row-0249|2490
row-0250|2500
row-0251|2510
row-0252|2520
row-0253|2530
row-0254|2540
row-0255|2550
row-0256|2560
row-0257|2570
row-0258|2580
row-0259|2590
row-0260|2600
row-0261|2610
row-0262|2620
row-0263|2630
row-0264|2640
row-0265|2650
row-0266|2660
row-0267|2670
row-0268|2680
row-0269|2690
row-0270|2700
row-0271|2710
row-0272|2720
row-0273|2730
row-0274|2740
row-0275|2750
row-0276|2760
row-0277|2770
row-0278|2780
row-0279|2790
row-0280|2800
row-0281|2810
row-0282|2820
row-0283|2830
row-0284|2840
row-0285|2850
row-0286|2860
row-0287|2870
row-0288|2880
row-0289|2890
row-0290|2900
row-0291|2910
row-0292|2920
row-0293|2930
row-0294|2940
row-0295|2950
row-0296|2960
row-0297|2970
row-0298|2980
row-0299|2990
row-0300|3000
row-0301|3010
row-0302|3020
row-0303|3030
row-0304|3040
row-0305|3050
row-0306|3060
row-0307|3070
row-0308|3080
row-0309|3090
row-0310|3100
row-0311|3110
row-0312|3120
row-0313|3130
row-0314|3140
row-0315|3150
row-0316|3160
row-0317|3170
row-0318|3180
row-0319|3190
row-0320|3200
row-0321|3210
row-0322|3220
row-0323|3230
row-0324|3240
row-0325|3250
row-0326|3260
row-0327|3270
row-0328|3280
row-0329|3290
row-0330|3300
row-0331|3310
row-0332|3320
row-0333|3330
row-0334|3340
row-0335|3350
row-0336|3360
row-0337|3370
row-0338|3380
row-0339|3390
row-0340|3400
row-0341|3410
row-0342|3420
row-0343|3430
row-0344|3440
row-0345|3450
row-0346|3460
row-0347|3470
row-0348|3480
row-0349|3490
row-0350|3500
row-0351|3510
row-0352|3520
row-0353|3530
row-0354|3540
row-0355|3550
row-0356|3560
row-0357|3570
row-0358|3580
row-0359|3590
row-0360|3600
row-0361|3610
row-0362|3620
row-0363|3630
row-0364|3640
row-0365|3650
row-0366|3660
row-0367|3670
row-0368|3680
row-0369|3690
row-0370|3700
row-0371|3710
row-0372|3720
row-0373|3730
row-0374|3740
row-0375|3750
row-0376|3760
row-0377|3770
row-0378|3780
row-0379|3790
row-0380|3800
row-0381|3810
row-0382|3820
row-0383|3830
row-0384|3840
row-0385|3850
row-0386|3860
row-0387|3870
row-0388|3880
row-0389|3890
row-0390|3900
row-0391|3910
row-0392|3920
row-0393|3930
row-0394|3940
row-0395|3950
row-0396|3960
row-0397|3970
row-0398|3980
row-0399|3990
row-0400|4000
row-0401|4010
row-0402|4020
row-0403|4030
row-0404|4040
row-0405|4050
row-0406|4060
row-0407|4070
row-0408|4080
row-0409|4090
row-0410|4100
row-0411|4110
row-0412|4120
row-0413|4130
row-0414|4140
row-0415|4150
row-0416|4160
row-0417|4170
row-0418|4180
row-0419|4190
row-0420|4200
row-0421|4210
row-0422|4220
row-0423|4230
row-0424|4240
row-0425|4250
row-0426|4260
row-0427|4270
row-0428|4280
row-0429|4290
row-0430|4300
row-0431|4310
row-0432|4320
row-0433|4330
row-0434|4340
row-0435|4350
row-0436|4360
row-0437|4370
row-0438|4380
row-0439|4390
row-0440|4400
row-0441|4410
row-0442|4420
row-0443|4430
row-0444|4440
row-0445|4450
row-0446|4460
row-0447|4470
row-0448|4480
row-0449|4490
row-0450|4500
row-0451|4510
row-0452|4520
row-0453|4530
row-0454|4540
row-0455|4550
row-0456|4560
row-0457|4570
row-0458|4580
row-0459|4590
row-0460|4600
row-0461|4610
row-0462|4620
row-0463|4630
row-0464|4640
row-0465|4650
row-0466|4660
row-0467|4670
row-0468|4680
row-0469|4690
row-0470|4700
row-0471|4710
row-0472|4720
row-0473|4730
row-0474|4740
row-0475|4750
row-0476|4760
row-0477|4770
row-0478|4780
row-0479|4790
row-0480|4800
row-0481|4810
row-0482|4820
row-0483|4830
row-0484|4840
row-0485|4850
row-0486|4860
row-0487|4870
row-0488|4880
row-0489|4890
row-0490|4900
row-0491|4910
row-0492|4920
row-0493|4930
row-0494|4940
row-0495|4950
row-0496|4960
row-0497|4970
row-0498|4980
row-0499|4990
row-0500|5000
row-0501|5010
row-0502|5020
row-0503|5030
row-0504|5040
row-0505|5050
row-0506|5060
row-0507|5070
row-0508|5080
row-0509|5090
row-0510|5100
row-0511|5110
row-0512|5120
row-0513|5130
row-0514|5140
row-0515|5150
row-0516|5160
row-0517|5170
row-0518|5180
row-0519|5190
row-0520|5200
row-0521|5210
row-0522|5220
row-0523|5230
row-0524|5240
row-0525|5250
row-0526|5260
row-0527|5270
row-0528|5280
row-0529|5290
row-0530|5300
row-0531|5310
row-0532|5320
row-0533|5330
row-0534|5340
row-0535|5350
row-0536|5360
row-0537|5370
row-0538|5380
row-0539|5390
row-0540|5400
row-0541|5410
row-0542|5420
row-0543|5430
row-0544|5440
row-0545|5450
row-0546|5460
row-0547|5470
row-0548|5480
row-0549|5490
row-0550|5500
row-0551|5510
row-0552|5520
row-0553|5530
row-0554|5540
row-0555|5550
row-0556|5560
row-0557|5570
row-0558|5580
row-0559|5590
